#Parameters = {Curva=0; DistanciaX=50; DistanciaY=50; Hcooper=0.035; Hfr=1.565; La=14; Lamda=61.2322; Lf=15; Lfdiv=15.30805; Lp=27; Placa=100; Wa=2; Wf=3; Wfdiv=1.6548; Wp=26.11}
#"Frequency / MHz"	"S2,2 [Mag]"	"S2,2 [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#---------------------------------------------------------------------------------------------
1500.0000000000	0.99356450208278	152.79729477583	50.000000000000	0.0000000000000
1502.0000000000	0.99358757410530	152.29851912413	50.000000000000	0.0000000000000
1504.0000000000	0.99361007191489	151.80198194215	50.000000000000	0.0000000000000
1506.0000000000	0.99363200562287	151.30764382528	50.000000000000	0.0000000000000
1508.0000000000	0.99365338483437	150.81546572733	50.000000000000	0.0000000000000
1510.0000000000	0.99367421866458	150.32540895493	50.000000000000	0.0000000000000
1512.0000000000	0.99369451575439	149.83743516195	50.000000000000	0.0000000000000
1514.0000000000	0.99371428428563	149.35150634378	50.000000000000	0.0000000000000
1516.0000000000	0.99373353199582	148.86758483163	50.000000000000	0.0000000000000
1518.0000000000	0.99375226619242	148.38563328679	50.000000000000	0.0000000000000
1520.0000000000	0.99377049376668	147.90561469478	50.000000000000	0.0000000000000
1522.0000000000	0.99378822120702	147.42749235958	50.000000000000	0.0000000000000
1524.0000000000	0.99380545461197	146.95122989769	50.000000000000	0.0000000000000
1526.0000000000	0.99382219970273	146.47679123229	50.000000000000	0.0000000000000
1528.0000000000	0.99383846183531	146.00414058729	50.000000000000	0.0000000000000
1530.0000000000	0.99385424601221	145.53324248139	50.000000000000	0.0000000000000
1532.0000000000	0.99386955689379	145.06406172214	50.000000000000	0.0000000000000
1534.0000000000	0.99388439880924	144.59656339994	50.000000000000	0.0000000000000
1536.0000000000	0.99389877576713	144.13071288203	50.000000000000	0.0000000000000
1538.0000000000	0.99391269146565	143.66647580653	50.000000000000	0.0000000000000
1540.0000000000	0.99392614930250	143.20381807638	50.000000000000	0.0000000000000
1542.0000000000	0.99393915238439	142.74270585334	50.000000000000	0.0000000000000
1544.0000000000	0.99395170353624	142.28310555195	50.000000000000	0.0000000000000
1546.0000000000	0.99396380531003	141.82498383346	50.000000000000	0.0000000000000
1548.0000000000	0.99397545999340	141.36830759985	50.000000000000	0.0000000000000
1550.0000000000	0.99398666961779	140.91304398771	50.000000000000	0.0000000000000
1552.0000000000	0.99399743596648	140.45916036224	50.000000000000	0.0000000000000
1554.0000000000	0.99400776058210	140.00662431114	50.000000000000	0.0000000000000
1556.0000000000	0.99401764477410	139.55540363864	50.000000000000	0.0000000000000
1558.0000000000	0.99402708962573	139.10546635934	50.000000000000	0.0000000000000
1560.0000000000	0.99403609600085	138.65678069224	50.000000000000	0.0000000000000
1562.0000000000	0.99404466455047	138.20931505460	50.000000000000	0.0000000000000
1564.0000000000	0.99405279571899	137.76303805597	50.000000000000	0.0000000000000
1566.0000000000	0.99406048975023	137.31791849203	50.000000000000	0.0000000000000
1568.0000000000	0.99406774669313	136.87392533863	50.000000000000	0.0000000000000
1570.0000000000	0.99407456640735	136.43102774566	50.000000000000	0.0000000000000
1572.0000000000	0.99408094856846	135.98919503098	50.000000000000	0.0000000000000
1574.0000000000	0.99408689267305	135.54839667444	50.000000000000	0.0000000000000
1576.0000000000	0.99409239804351	135.10860231170	50.000000000000	0.0000000000000
1578.0000000000	0.99409746383263	134.66978172827	50.000000000000	0.0000000000000
1580.0000000000	0.99410208902800	134.23190485337	50.000000000000	0.0000000000000
1582.0000000000	0.99410627245615	133.79494175386	50.000000000000	0.0000000000000
1584.0000000000	0.99411001278654	133.35886262821	50.000000000000	0.0000000000000
1586.0000000000	0.99411330853530	132.92363780036	50.000000000000	0.0000000000000
