#Parameters = {Curva=0; DistanciaX=50; DistanciaY=50; Hcooper=0.035; Hfr=1.565; La=14; Lamda=61.2322; Lf=15; Lfdiv=15.30805; Lp=27; Placa=100; Wa=2; Wf=3; Wfdiv=1.6548; Wp=26.11}
#"Frequency / MHz"	"S2,2 [Mag]"	"S2,2 [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#---------------------------------------------------------------------------------------------
1500.0000000000	0.98506030476882	162.33290233312	92.956108211626	0.0000000000000
1502.0000000000	0.98157809214113	162.15978351063	92.956108211626	0.0000000000000
1504.0000000000	0.97830159009292	162.00902789079	92.956108211626	0.0000000000000
1506.0000000000	0.97526849285821	161.87928140827	92.956108211626	0.0000000000000
1508.0000000000	0.97251376289744	161.76891842310	92.956108211626	0.0000000000000
1510.0000000000	0.97006920598607	161.67604191423	92.956108211626	0.0000000000000
1512.0000000000	0.96796248777179	161.59856153760	92.956108211626	0.0000000000000
1514.0000000000	0.96621746482704	161.53413987916	92.956108211626	0.0000000000000
1516.0000000000	0.96485308833770	161.48027353385	92.956108211626	0.0000000000000
1518.0000000000	0.96388413800242	161.43430958155	92.956108211626	0.0000000000000
1520.0000000000	0.96331965700922	161.39351784638	92.956108211626	0.0000000000000
1522.0000000000	0.96316410786957	161.35512019590	92.956108211626	0.0000000000000
1524.0000000000	0.96341652580889	161.31626761739	92.956108211626	0.0000000000000
1526.0000000000	0.96407087793938	161.27420800380	92.956108211626	0.0000000000000
1528.0000000000	0.96511609475044	161.22625943794	92.956108211626	0.0000000000000
1530.0000000000	0.96653647783575	161.16983058281	92.956108211626	0.0000000000000
1532.0000000000	0.96831155723640	161.10252666754	92.956108211626	0.0000000000000
1534.0000000000	0.97041677301846	161.02212162370	92.956108211626	0.0000000000000
1536.0000000000	0.97282404566495	160.92663511867	92.956108211626	0.0000000000000
1538.0000000000	0.97550136058105	160.81430432915	92.956108211626	0.0000000000000
1540.0000000000	0.97841464674176	160.68365527953	92.956108211626	0.0000000000000
1542.0000000000	0.98152686974796	160.53347389610	92.956108211626	0.0000000000000
1544.0000000000	0.98479968877291	160.36282931337	92.956108211626	0.0000000000000
1546.0000000000	0.98819297209993	160.17107940535	92.956108211626	0.0000000000000
1548.0000000000	0.99166601194556	159.95785153608	92.956108211626	0.0000000000000
1550.0000000000	0.99517805806745	159.72305740385	92.956108211626	0.0000000000000
1552.0000000000	0.99868843029115	159.46683001352	92.956108211626	0.0000000000000
1554.0000000000	1.0021569205366	159.18958133594	92.956108211626	0.0000000000000
1556.0000000000	1.0055446073121	158.89193359536	92.956108211626	0.0000000000000
1558.0000000000	1.0088142110597	158.57474024810	92.956108211626	0.0000000000000
1560.0000000000	1.0119300562925	158.23902240682	92.956108211626	0.0000000000000
1562.0000000000	1.0148589286097	157.88598264844	92.956108211626	0.0000000000000
1564.0000000000	1.0175698192300	157.51697691338	92.956108211626	0.0000000000000
1566.0000000000	1.0200346495726	157.13348784872	92.956108211626	0.0000000000000
1568.0000000000	1.0222283684636	156.73711779126	92.956108211626	0.0000000000000
1570.0000000000	1.0241288708575	156.32959066555	92.956108211626	0.0000000000000
1572.0000000000	1.0257174951792	155.91265893892	92.956108211626	0.0000000000000
1574.0000000000	1.0269790512101	155.48817778705	92.956108211626	0.0000000000000
1576.0000000000	1.0279019954137	155.05803876959	92.956108211626	0.0000000000000
1578.0000000000	1.0284781889360	154.62420140011	92.956108211626	0.0000000000000
1580.0000000000	1.0287029600309	154.18858227946	92.956108211626	0.0000000000000
1582.0000000000	1.0285760013354	153.75313360466	92.956108211626	0.0000000000000
1584.0000000000	1.0280999485608	153.31979911576	92.956108211626	0.0000000000000
1586.0000000000	1.0272811846684	152.89049285322	92.956108211626	0.0000000000000
1588.0000000000	1.0261299752828	152.46707581233	92.956108211626	0.0000000000000
1590.0000000000	1.0246599279015	152.05137872652	92.956108211626	0.0000000000000
1592.0000000000	1.0228873405271	151.64515671858	92.956108211626	0.0000000000000
1594.0000000000	1.0208328674790	151.25005903108	92.956108211626	0.0000000000000
1596.0000000000	1.0185189303262	150.86768885992	92.956108211626	0.0000000000000
1598.0000000000	1.0159716133056	150.49948578868	92.956108211626	0.0000000000000
1600.0000000000	1.0132194118917	150.14679162074	92.956108211626	0.0000000000000
1602.0000000000	1.0102928484920	149.81077643993	92.956108211626	0.0000000000000
1604.0000000000	1.0072245407273	149.49246119776	92.956108211626	0.0000000000000
1606.0000000000	1.0040490186223	149.19272737424	92.956108211626	0.0000000000000
1608.0000000000	1.0008022328104	148.91216738190	92.956108211626	0.0000000000000
1610.0000000000	0.99752069669037	148.65131185927	92.956108211626	0.0000000000000
1612.0000000000	0.99424195942268	148.41032206301	92.956108211626	0.0000000000000
1614.0000000000	0.99100380590140	148.18926318778	92.956108211626	0.0000000000000
1616.0000000000	0.98784323684744	147.98786084229	92.956108211626	0.0000000000000
1618.0000000000	0.98479744466663	147.80567901038	92.956108211626	0.0000000000000
1620.0000000000	0.98190157887888	147.64197347007	92.956108211626	0.0000000000000
1622.0000000000	0.97918984654737	147.49578898601	92.956108211626	0.0000000000000
1624.0000000000	0.97669432257843	147.36592259377	92.956108211626	0.0000000000000
1626.0000000000	0.97444429445146	147.25092845257	92.956108211626	0.0000000000000
1628.0000000000	0.97246676589621	147.14918592949	92.956108211626	0.0000000000000
1630.0000000000	0.97078476450981	147.05884600571	92.956108211626	0.0000000000000
1632.0000000000	0.96941853767066	146.97788501764	92.956108211626	0.0000000000000
