#Parameters = {Curva=0; DistanciaX=50; DistanciaY=50; Hcooper=0.035; Hfr=1.565; La=14; Lamda=61.2322; Lf=15; Lfdiv=15.30805; Lp=27; Placa=100; Wa=2; Wf=3; Wfdiv=1.6548; Wp=26.11}
#"Frequency / MHz"	"VSWR2 [Magnitude]"
#-------------------------------------
1500.0000000000	132.90316170978
1502.0000000000	107.58622011228
1504.0000000000	91.186020480874
1506.0000000000	79.878329689912
1508.0000000000	71.771050456132
1510.0000000000	65.826336325469
1512.0000000000	61.431131810501
1514.0000000000	58.205114777386
1516.0000000000	55.906393109671
1518.0000000000	54.378788726927
1520.0000000000	53.526030237570
1522.0000000000	53.295087675855
1524.0000000000	53.669041344345
1526.0000000000	54.664086586103
1528.0000000000	56.331194495565
1530.0000000000	58.763893272372
1532.0000000000	62.110629903303
1534.0000000000	66.600777936570
1536.0000000000	72.587118301465
1538.0000000000	80.627800919871
1540.0000000000	91.641874661607
1542.0000000000	107.24538706245
1544.0000000000	130.54429176195
1546.0000000000	168.33681204720
1548.0000000000	238.86803652219
1550.0000000000	413.43020587082
1552.0000000000	1519.2081633167
1554.0000000000	1.0000000000000
1556.0000000000	1.0000000000000
1558.0000000000	1.0000000000000
1560.0000000000	1.0000000000000
1562.0000000000	1.0000000000000
1564.0000000000	1.0000000000000
1566.0000000000	1.0000000000000
1568.0000000000	1.0000000000000
1570.0000000000	1.0000000000000
1572.0000000000	1.0000000000000
1574.0000000000	1.0000000000000
1576.0000000000	1.0000000000000
1578.0000000000	1.0000000000000
1580.0000000000	1.0000000000000
1582.0000000000	1.0000000000000
1584.0000000000	1.0000000000000
1586.0000000000	1.0000000000000
1588.0000000000	1.0000000000000
1590.0000000000	1.0000000000000
1592.0000000000	1.0000000000000
1594.0000000000	1.0000000000000
1596.0000000000	1.0000000000000
1598.0000000000	1.0000000000000
1600.0000000000	1.0000000000000
1602.0000000000	1.0000000000000
1604.0000000000	1.0000000000000
1606.0000000000	1.0000000000000
1608.0000000000	1.0000000000000
1610.0000000000	806.38969102368
1612.0000000000	346.46716015994
1614.0000000000	221.36747263364
1616.0000000000	163.54809263633
1618.0000000000	130.57532723913
1620.0000000000	109.51926016698
1622.0000000000	95.115992772065
1624.0000000000	84.822663550850
1626.0000000000	77.265006659028
1628.0000000000	71.642736894654
1630.0000000000	67.460242275327
1632.0000000000	64.400880993726
1634.0000000000	62.260147892433
1636.0000000000	60.906431436584
1638.0000000000	60.261222940868
1640.0000000000	60.287834635060
1642.0000000000	60.985239975160
1644.0000000000	62.389704549550
1646.0000000000	64.577481788889
1648.0000000000	67.676831354934
1650.0000000000	71.886651035595
1652.0000000000	77.512453384085
1654.0000000000	85.029000186046
1656.0000000000	95.196044652826
1658.0000000000	109.29762487336
1660.0000000000	129.67046262261
1662.0000000000	161.01977001085
1664.0000000000	214.43885248519
1666.0000000000	323.69868523407
1668.0000000000	663.65840372093
1670.0000000000	1.0000000000000
1672.0000000000	1.0000000000000
1674.0000000000	1.0000000000000
1676.0000000000	1.0000000000000
1678.0000000000	1.0000000000000
1680.0000000000	1.0000000000000
1682.0000000000	1.0000000000000
1684.0000000000	1.0000000000000
1686.0000000000	1.0000000000000
1688.0000000000	1.0000000000000
1690.0000000000	1.0000000000000
1692.0000000000	1.0000000000000
1694.0000000000	1.0000000000000
1696.0000000000	1.0000000000000
1698.0000000000	1.0000000000000
